DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5
4,LAKE MACQUARIE,97418,NORMAL,3,KENNEDY CL,COORANBONG,2265,15/865588,R2,600,M,1/7/2017,212000,14A(1),6A(1),1/7/2016,185000,14A(1),6A(1),1/7/2015,164000,14A(1),6A(1),1/7/2014,140000,14A(1),6A(1),1/7/2013,132000,14A(1),6A(1)
4,LAKE MACQUARIE,97419,NORMAL,5,KENNEDY CL,COORANBONG,2265,14/865588,R2,600.4,M,1/7/2017,212000,14A(1),6A(1),1/7/2016,185000,14A(1),6A(1),1/7/2015,164000,14A(1),6A(1),1/7/2014,140000,14A(1),6A(1),1/7/2013,132000,14A(1),6A(1)
4,LAKE MACQUARIE,97420,NORMAL,7,KENNEDY CL,COORANBONG,2265,13/865588,R2,600,M,1/7/2017,212000,14A(1),6A(1),1/7/2016,185000,14A(1),6A(1),1/7/2015,164000,14A(1),6A(1),1/7/2014,140000,14A(1),6A(1),1/7/2013,132000,14A(1),6A(1)
4,LAKE MACQUARIE,97421,NORMAL,9,KENNEDY CL,COORANBONG,2265,12/865588,R2,700.9,M,1/7/2017,250000,14A(1),6A(1),1/7/2016,218000,14A(1),6A(1),1/7/2015,194000,14A(1),6A(1),1/7/2014,166000,14A(1),6A(1),1/7/2013,157000,14A(1),6A(1)
4,LAKE MACQUARIE,97422,NORMAL,11,KENNEDY CL,COORANBONG,2265,11/865588,R2,642.5,M,1/7/2017,250000,14A(1),6A(1),1/7/2016,218000,14A(1),6A(1),1/7/2015,194000,14A(1),6A(1),1/7/2014,166000,14A(1),6A(1),1/7/2013,157000,14A(1),6A(1)
4,LAKE MACQUARIE,97423,UNDERSP,15,KENNEDY CL,COORANBONG,2265,"1, 2, CP/SP70023",R2,650.2,M,1/7/2017,250000,14A(1),6A(1),1/7/2016,218000,14A(1),6A(1),1/7/2015,194000,14A(1),6A(1),1/7/2014,166000,14A(1),6A(1),1/7/2013,157000,14A(1),6A(1)
4,LAKE MACQUARIE,97424,NORMAL,17,KENNEDY CL,COORANBONG,2265,9/865588,R2,709.1,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97425,NORMAL,30,KENNEDY CL,COORANBONG,2265,8/865588,R2,640.5,M,1/7/2017,250000,14A(1),6A(1),1/7/2016,218000,14A(1),6A(1),1/7/2015,194000,14A(1),6A(1),1/7/2014,166000,14A(1),6A(1),1/7/2013,157000,14A(1),6A(1)
4,LAKE MACQUARIE,97426,NORMAL,28,KENNEDY CL,COORANBONG,2265,7/865588,R2,599.2,M,1/7/2017,250000,14A(1),6A(1),1/7/2016,218000,14A(1),6A(1),1/7/2015,194000,14A(1),6A(1),1/7/2014,166000,14A(1),6A(1),1/7/2013,157000,14A(1),6A(1)
4,LAKE MACQUARIE,97427,NORMAL,26,KENNEDY CL,COORANBONG,2265,6/865588,R2,584.5,M,1/7/2017,236000,14A(1),6A(1),1/7/2016,206000,14A(1),6A(1),1/7/2015,183000,14A(1),6A(1),1/7/2014,156000,14A(1),6A(1),1/7/2013,147000,14A(1),6A(1)
